Municipality,Last Name,First Name,Affiliation
Acton,Benham,John James L,Western Ontario Waterways Regional Council - United Church
Acton,Berry,Cheryl Anne,Spiritualist Church Of Canada
Acton,Crerar,Thomas Charles,Celebrating Life Ministries
Acton,Kabugi,Naomi Gakenia,The Anglican Church Of Canada Diocese Of Niagara
Acton,Letki,Matthew,Clergy Support Memorial Church
Acton,McLean,Duane Donald,Ministers Network Canada
Acton,Nelson,Todd,Presbyterian Church in Canada Presbytery Of Brampton
Acton,Pissarouk,Vladimir,Canadian Christian Ministries
Acton,Rennie,Gerald,Presbyterian Church in Canada Presbytery Of Brampton
Acton,Simpson,Richard M,Jehovah's Witnesses
Acton,Sullivan,Mark Lawrence,Roman Catholic Diocese Of Hamilton
Acton,Vanofwegen,Andrew,The Christian and Missionary Alliance Central Canada District
Acton,Widdowson,Robert Ernest,Western Ontario Waterways Regional Council - United Church
Acton,Widdowson,Terri Ann Patricia,Western Ontario Waterways Regional Council - United Church
Acton,Willson,Cameron D,The Pentecostal Assemblies of Canada Western Ontario District
Addison,Russ,Eleanor Joyce,Eastern Ontario Outaouais Regional Council - United Church
Adjala-Tosorontio Twp,Raterman,Thomas Anthony,Christian Church / Church of Christ
Agincourt,Chang,Patrick John Winston,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Agincourt,Hanks,Robert Leroy,Brethren
Agincourt,Hannah,Frederick William,Brethren
Agincourt,Sampson,Matthew,Baptist - Ontario & Quebec
Agincourt,Scuse,Harvey J,The Anglican Church Of Canada
Agincourt,Singh,Hardat,Hinduism
Agincourt,Telford,Joan Mabel,The Pentecostal Assemblies of Canada Western Ontario District
Agincourt,Thorne,Donald A,Brethren
Agincourt,Too,Daniel,Baptist - Ontario & Quebec
Ahmic Harbour,Putman,Richard Paul,The Gospel Crusade Inc
Ailsa Craig,Clark,Barbara Alison,Antler River Watershed Regional Council - United Church
Ailsa Craig,Hill,Dawn C,Antler River Watershed Regional Council - United Church
Ailsa Craig,Mitchell,David Ward,Antler River Watershed Regional Council - United Church
Ailsa Craig,Pennings,Arie Eric,United Reformed Churches In North America
Ailsa Craig,Symons,Gordon Edward,The Pentecostal Assemblies of Canada Western Ontario District
Ajax,Adams,Carrie Janette,The Anglican Church Of Canada Diocese Of Moosonee
Ajax,Adriano,Kevin Joshua,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Ajax,Ahmadi,Noor Ahmad N R,Ismaili Muslim Council For Ontario
Ajax,Alasti-Faridani,Simin,The Spiritual Assembly of the Baha'is of Ajax
Ajax,Albrecht,Wallace C E,The Christian and Missionary Alliance Eastern Canada District
Ajax,Alexander,Michelle A,The United Spiritual Baptist Church Of Ontario Inc
Ajax,Alibhai,Abil,Ismaili Muslim Council For Ontario
Ajax,Alvarez,Ann,The Fire of Jesus Christ Ministries
Ajax,Alvarez,Juliester,The Fire of Jesus Christ Ministries
Ajax,Amasowomwan,Idehen,Redemption City Of Faith Ministries Of Canada Inc
Ajax,Apanisile,Francis Olusegun,Eagle Worldwide Ministries
Ajax,Argyrides,Efstathios,Greek Evangelical Church
Ajax,Arias Santana,Juan Miguel,The Association for Education and Evangelism
Ajax,Awai,Brian,The Association for Education and Evangelism
Ajax,Baillie,Sean Andrew,Open for Life Ministries
Ajax,Baker,Lorraine A,Divine Light Spiritualist Church
Ajax,Barham,Otis George,Independent Assemblies Of God International
Ajax,Bartlett,Theodore Spahr,The Anglican Church Of Canada Diocese Of Toronto
Ajax,Baxter,Mark Anthony,The Association for Education and Evangelism
Ajax,Beckford,Michael A,The Association for Education and Evangelism
Ajax,Bennett,Devon Delroy,Churches of Christ
Ajax,Bent,Oscar Elkana,Church of God in Canada
Ajax,Biggs,James Frederick,Presbyterian Church in Canada Presbytery Of Pickering
Ajax,Bissoon-Ramessar,Ruth J,Church Of The Nazarene Canada Central District
Ajax,Blagrove,Maurice,"The Church of God Sabbath Keeping"""""
Ajax,Bobb,Tyrone,"Old & New Bible Holiness Churches, Inc."
Ajax,Brown,Dennis Everton,Ministers Network Canada
Ajax,Brown,Lansfield Augustus,Spreading Truth Ministries
Ajax,Brown,Vernal,Canadian Christian Ministries
Ajax,Bryson,Joel David,United Pentecostal Church International Ontario District
Ajax,Buday,Eva Kinga,Clergy Support Memorial Church
Ajax,Bundy,Basil,The Association for Education and Evangelism
Ajax,Burke,Angela,Divine Light Spiritualist Church
Ajax,Burnett,Wendy June,Pentecostal Church Of God Of America
Ajax,Buslon,Alice,Ministers Network Canada
Ajax,Buslon,Jaime,Ministers Network Canada
Ajax,Butler,Julian,Faith United Ministries
